iter	Passed	Remaining
0	225	44819
1	254	25181
2	283	18583
3	326	15985
4	362	14143
5	392	12701
6	413	11404
7	434	10432
8	462	9813
9	498	9476
10	527	9070
11	548	8588
12	589	8484
13	611	8124
14	669	8251
15	710	8167
16	742	7994
17	776	7848
18	797	7593
19	832	7492
20	880	7509
21	903	7308
22	939	7227
23	1002	7355
24	1064	7454
25	1095	7333
26	1165	7466
27	1211	7440
28	1244	7341
29	1285	7286
30	1340	7308
31	1410	7402
32	1435	7262
33	1467	7164
34	1489	7023
35	1512	6888
36	1551	6835
37	1581	6744
38	1621	6692
39	1642	6569
40	1676	6502
41	1710	6433
42	1731	6323
43	1753	6218
44	1776	6117
45	1811	6063
46	1851	6026
47	1883	5963
48	1903	5866
49	1932	5798
50	1962	5732
51	1997	5686
52	2018	5598
53	2039	5514
54	2070	5457
55	2090	5374
56	2119	5317
57	2139	5239
58	2172	5191
59	2204	5142
60	2225	5071
61	2255	5021
62	2276	4950
63	2305	4898
64	2333	4846
65	2365	4803
66	2386	4737
67	2415	4689
68	2444	4640
69	2475	4597
70	2504	4549
71	2532	4502
72	2561	4456
73	2590	4411
74	2623	4372
75	2653	4328
76	2681	4283
77	2711	4241
78	2741	4199
79	2773	4160
80	2807	4125
81	2842	4090
82	2875	4053
83	2904	4011
84	2933	3968
85	2962	3926
86	2992	3886
87	3021	3845
88	3050	3804
89	3084	3769
90	3115	3731
91	3145	3692
92	3175	3653
93	3204	3613
94	3233	3573
95	3264	3536
96	3292	3496
97	3321	3457
98	3353	3421
99	3384	3384
100	3412	3345
101	3442	3307
102	3471	3269
103	3499	3230
104	3528	3192
105	3557	3154
106	3586	3117
107	3615	3079
108	3645	3043
109	3674	3006
110	3705	2970
111	3734	2934
112	3762	2897
113	3797	2864
114	3831	2831
115	3861	2796
116	3890	2759
117	3919	2723
118	3948	2687
119	3978	2652
120	4007	2616
121	4039	2582
122	4074	2550
123	4110	2519
124	4143	2486
125	4177	2453
126	4208	2419
127	4241	2385
128	4272	2351
129	4306	2318
130	4341	2286
131	4373	2252
132	4406	2219
133	4440	2187
134	4472	2153
135	4507	2121
136	4539	2087
137	4573	2054
138	4604	2020
139	4659	1997
140	4694	1964
141	4724	1929
142	4755	1895
143	4790	1862
144	4830	1832
145	4865	1799
146	4898	1766
147	4927	1731
148	4954	1695
149	4982	1660
150	5010	1625
151	5037	1590
152	5065	1556
153	5092	1521
154	5122	1487
155	5150	1452
156	5182	1419
157	5210	1385
158	5238	1350
159	5266	1316
160	5293	1282
161	5325	1249
162	5355	1215
163	5383	1181
164	5411	1147
165	5438	1113
166	5467	1080
167	5495	1046
168	5523	1013
169	5550	979
170	5579	946
171	5608	913
172	5638	880
173	5667	846
174	5698	814
175	5731	781
176	5770	749
177	5814	718
178	5877	689
179	5920	657
180	5958	625
181	6003	593
182	6044	561
183	6079	528
184	6119	496
185	6161	463
186	6196	430
187	6229	397
188	6262	364
189	6299	331
190	6333	298
191	6366	265
192	6404	232
193	6435	199
194	6465	165
195	6494	132
196	6524	99
197	6557	66
198	6588	33
199	6620	0
